luxury,tranquility,safety,accessibility,security,overall_sentiment,original_index
8,7,8,9,8,8,7461
6,8,7,7,6,7,7464
7,4,5,6,6,6,7466
9,8,7,8,8,8,7467
6,8,7,6,8,7,7469
5,7,8,8,7,7,7470
5,4,7,6,5,5,7472
3,8,7,9,8,7,7473
5,7,8,6,7,6,7474
6,8,7,5,6,6,7476
6,5,7,8,8,7,7477
8,7,8,9,8,8,7479
5,7,8,7,7,7,7480
4,7,8,6,7,7,7481
2,4,5,6,5,4,7482
8,7,9,8,9,8,7483
3,6,7,8,6,6,7485
8,7,8,9,8,8,7486
7,8,7,8,7,7,7487
8,7,8,9,8,8,7488
5,8,7,6,8,7,7490
7,8,9,8,7,8,7491
7,8,7,8,8,7492
8,9,7,8,8,8,7493
4,6,7,5,6,6,7494
7,8,9,8,7,8,7495
2,4,7,8,6,5,7496
8,7,7,9,8,8,7497
8,7,8,8,7,8,7499
2,5,7,8,6,6,7500
7,5,7,8,6,7,7502
4,7,6,8,7,6,7503
3,5,7,6,8,6,7505
7,8,7,8,8,8,7508
7,5,8,6,7,7,7509
3,5,7,6,5,5,7510
6,4,8,7,6,7,7511
6,8,7,9,8,8,7512
2,8,7,5,6,6,7513
2,4,6,8,7,5,7514
3,6,7,8,5,6,7515
3,5,7,4,6,5,7516
7,8,9,7,8,7,7517
3,4,6,7,6,5,7518
8,9,7,8,9,8,7519
8,7,7,8,8,8,7520
8,7,8,9,8,8,7521
6,5,7,8,7,7,7522
7,6,5,8,7,7,7523
7,6,8,7,8,7,7525
9,8,9,7,8,8,7529
7,8,8,9,8,8,7530
4,6,8,7,7,6,7531
7,8,7,8,9,8,7532
8,7,8,9,8,8,7533
9,8,8,7,9,8,7534
9,8,7,8,8,8,7535
5,8,7,9,8,7,7536
5,7,8,8,7,7,7537
8,7,9,8,9,8,7540
7,5,6,7,8,6,7541
6,5,7,8,7,7,7542
7,9,8,6,7,7,7543
8,9,7,8,8,8,7545
7,8,7,9,8,7,7546
8,7,8,9,9,8,7547
7,8,8,9,9,8,7548
8,7,9,8,8,8,7549
7,4,6,7,8,6,7552
5,7,8,6,7,7,7553
4,6,7,8,7,6,7554
2,4,7,6,8,5,7556
7,8,7,9,8,8,7557
6,8,7,7,8,8,7559
5,7,6,8,7,6,7560
7,6,8,9,7,8,7561
8,7,8,9,9,8,7562
5,7,8,6,7,7,7565
7,8,6,7,7,7,7566
6,7,8,8,7,7,7567
7,8,7,8,7,7,7568
5,3,7,8,6,6,7569
3,8,7,8,7,7,7572
6,8,7,8,7,7,7573
8,7,6,7,8,7,7574
7,8,6,7,8,7,7576
8,7,7,8,7,7,7577
6,8,7,8,8,7,7578
5,7,8,6,7,7,7579
2,4,6,8,7,5,7581
6,8,7,9,8,8,7584
8,7,6,8,7,7,7585
4,5,6,8,7,6,7586
8,7,7,8,8,8,7590
4,5,7,8,6,6,7593
5,7,8,6,7,7,7596
4,7,8,6,7,6,7597
8,9,7,8,8,8,7598
3,5,6,7,8,5,7599
7,8,6,7,8,7,7600
3,6,7,8,7,6,7601
7,8,6,7,8,7,7602
5,8,7,6,8,6,7604
7,8,7,6,7,7,7605
3,2,4,5,7,4,7606
4,5,7,6,6,6,7607
5,6,7,8,7,6,7608
7,8,6,7,8,7,7609
8,7,8,8,7,8,7610
8,9,7,8,8,8,7611
4,5,6,7,7,6,7612
4,6,7,5,8,6,7614
7,8,9,9,8,8,7616
4,6,7,8,7,6,7618
8,9,7,6,8,8,7620
2,4,6,7,6,5,7621
4,6,7,8,7,6,7622
7,8,8,6,7,7,7624
7,8,8,7,7,7,7626
7,6,8,7,8,7,7627
5,7,8,6,7,7,7628
7,6,8,7,8,7,7629
4,7,8,8,7,7,7630
6,7,8,7,8,7,7631
8,7,9,8,8,8,7632
3,5,7,8,6,6,7634
7,8,7,8,7,7,7635
8,7,8,9,8,8,7636
8,7,8,6,7,7,7637
4,5,6,8,7,6,7638
4,8,7,6,5,6,7639
5,7,8,6,7,6,7641
5,6,7,8,7,7,7642
6,5,7,8,8,7,7643
4,6,7,8,7,6,7644
2,5,4,6,3,4,7645
8,7,7,8,8,8,7646
8,7,9,8,9,8,7647
8,7,8,7,8,8,7648
7,8,8,7,7,7,7649
5,6,7,8,7,7,7650
9,8,8,7,9,8,7657
3,5,6,8,7,6,7658
7,8,9,7,8,8,7659
2,4,7,6,5,5,7661
7,8,7,8,8,8,7663
3,5,7,8,8,6,7664
7,5,7,6,8,6,7665
8,7,8,9,8,8,7666
2,5,7,6,6,5,7667
7,9,8,7,8,8,7669
8,6,7,9,9,7,7670
7,8,8,6,7,7671
9,8,7,7,8,8,7673
8,7,8,9,8,8,7675
5,4,7,8,6,6,7676
7,8,8,7,6,7,7677
2,8,7,6,6,6,7680
8,7,6,8,7,7,7681
6,7,8,8,7,7,7682
8,7,8,9,9,8,7683
8,9,7,8,8,8,7684
4,6,7,8,7,6,7685
5,3,6,7,6,5,7686
8,7,8,7,8,8,7687
8,9,7,6,8,8,7688
4,7,6,8,7,6,7690
5,7,8,9,8,7,7691
9,7,8,8,7,8,7692
8,7,6,8,7,7,7693
8,7,9,8,8,8,7694
8,9,8,7,7,8,7696
8,9,7,7,8,8,7697
7,8,9,8,9,8,7699
1,3,6,7,8,5,7700
8,7,8,9,8,8,7702
8,7,8,9,9,8,7703
2,7,6,8,7,7,7705
8,7,8,9,8,8,7706
8,7,9,8,8,8,7707
8,7,7,8,9,8,7708
7,6,8,8,7,7,7709
8,7,8,8,9,8,7711
8,7,8,9,8,8,7712
2,5,7,8,6,6,7715
7,8,8,9,7,8,7717
6,8,7,8,8,7,7718
6,7,5,8,6,7,7719
4,6,7,8,7,6,7720
5,4,7,8,6,6,7721
6,7,7,8,7,7,7723
8,7,6,8,7,7,7724
3,6,7,8,8,7,7725
8,9,8,9,8,8,7726
7,8,8,9,7,8,7727
3,5,7,8,6,7,7728
5,8,7,6,6,7,7729
2,8,6,7,7,6,7730
7,8,7,9,8,7,7731
8,9,7,8,8,8,7732
7,6,8,8,7,7,7733
7,8,8,7,8,7,7735
7,8,6,7,8,7,7736
3,5,7,8,6,6,7737
7,8,8,9,9,8,7738
6,7,8,7,6,7,7739
3,6,7,8,7,6,7740
7,8,8,7,8,8,7741
3,6,5,7,6,5,7742
4,6,7,8,8,6,7743
3,5,6,7,8,5,7744
5,6,7,8,8,6,7747
8,7,9,8,9,8,7748
7,5,8,9,6,7,7749
8,7,7,8,8,8,7750
8,7,6,8,7,7,7752
8,7,7,8,9,8,7755
7,8,8,7,9,8,7759
6,7,8,9,7,7,7760
6,8,7,7,8,7,7761
7,8,6,7,5,7,7763
6,7,8,8,7,7,7765
8,7,8,7,8,8,7766
7,8,7,6,8,7,7767
5,7,6,8,6,7,7768
5,7,6,8,8,7,7770
4,5,6,7,7,6,7771
4,8,5,7,7,7,7772
7,6,8,7,8,7,7773
7,8,7,8,8,7,7774
5,7,7,8,8,7,7775
3,6,7,8,8,6,7777
8,7,8,7,8,8,7779
2,5,6,7,8,6,7780
8,9,9,8,9,8,7781
5,7,6,8,7,7,7782
7,5,8,6,7,7,7783
7,8,6,7,8,7,7786
7,8,6,7,6,7,7787
6,4,8,7,5,6,7788
6,7,8,8,7,7,7789
8,7,8,9,8,8,7790
3,5,6,8,7,6,7792
8,7,8,9,8,8,7793
8,7,8,9,8,8,7794
2,5,7,6,8,6,7795
7,8,8,9,7,8,7796
5,7,8,9,8,7,7797
9,8,9,9,8,8,7799
8,7,7,8,8,8,7801
4,6,7,7,5,6,7802
7,6,8,7,8,7,7803
2,4,7,8,8,6,7805
7,6,8,9,7,7,7806
5,8,7,6,6,6,7807
7,5,8,9,8,7,7808
3,5,7,6,6,5,7812
3,5,7,8,8,6,7814
5,4,7,6,6,6,7815
7,8,7,8,8,8,7816
7,6,8,5,7,7,7817
7,8,8,7,8,8,7818
5,8,7,9,6,7,7819
6,7,8,7,8,7,7820
7,8,8,7,7,7,7821
8,9,8,7,9,8,7824
7,8,8,7,7,7,7826
3,6,7,8,5,6,7827
7,8,7,6,7,7,7828
7,9,8,7,8,8,7829
8,7,8,9,9,8,7834
7,8,8,7,8,8,7835
2,7,8,6,5,6,7837
2,5,7,6,6,5,7838
8,7,8,9,9,8,7839
7,8,8,7,7,7,7840
8,7,8,8,9,8,7842
8,7,8,9,8,8,7844
6,4,7,8,6,7,7846
5,8,7,6,6,7,7847
6,8,7,8,7,7,7848
5,7,4,6,5,5,7849
3,4,7,6,5,5,7851
8,7,8,8,7,8,7852
7,8,8,8,7,8,7853
8,9,7,8,9,8,7856
7,8,7,8,7,7,7857
7,8,8,7,7,8,7858
3,6,7,8,7,7,7859
5,4,7,6,6,6,7860
5,7,6,8,6,6,7861
8,7,7,8,8,7,7862
8,7,8,9,7,8,7863
8,7,6,7,8,7,7865
2,7,5,8,6,6,7867
8,9,7,9,8,8,7868
8,7,6,8,7,7,7869
3,4,5,6,7,5,7870
2,8,7,6,7,7,7871
6,3,7,8,8,7,7872
8,7,9,8,8,8,7874
2,4,6,8,7,5,7876
3,7,6,8,7,7,7879
8,9,7,6,8,8,7880
6,8,7,8,7,7881
6,7,8,7,8,7,7882
6,7,8,6,7,7,7883
7,8,8,7,9,8,7884
1,6,7,8,5,6,7885
4,6,7,8,6,6,7887
4,6,7,5,8,6,7888
3,5,6,8,7,6,7889
3,5,6,7,6,5,7890
8,7,6,8,7,7,7892
8,7,9,8,9,8,7893
6,7,8,8,7,7,7894
4,7,6,8,5,6,7895
8,9,7,8,8,8,7896
3,5,7,6,6,5,7899
8,9,7,8,8,8,7902
8,7,8,7,8,8,7903
5,7,8,9,8,8,7904
5,7,8,6,7,7,7906
8,7,9,9,8,8,7907
7,6,8,7,8,7,7908
3,6,7,8,7,6,7909
5,6,7,8,7,6,7910
5,6,7,8,9,7,7913
5,3,7,6,6,5,7914
2,5,6,7,6,5,7916
7,8,7,8,8,8,7917
8,7,9,8,8,8,7919
7,8,8,9,9,8,7920
8,7,8,9,8,8,7921
8,4,7,6,7,6,7922
7,5,8,6,7,7,7923
2,5,6,4,3,4,7924
7,8,8,7,8,8,7925
8,7,8,9,9,8,7926
6,7,8,7,8,7,7927
7,6,8,7,7,7,7928
8,7,6,8,7,7,7929
3,2,7,5,6,5,7930
2,5,7,8,6,6,7933
6,7,8,8,7,7,7934
7,8,7,8,7,7,7935
5,7,6,8,9,7,7936
8,8,7,9,8,8,7937
5,7,8,6,7,6,7938
6,7,8,7,8,7,7939
3,4,5,8,6,5,7940
6,7,8,8,7,7,7943
2,5,6,7,7,5,7944
7,6,8,8,7,7,7945
6,8,7,7,6,7,7947
8,7,9,9,8,8,7949
8,7,6,8,7,8,7951
4,3,5,6,5,5,7952
7,8,8,7,7,7,7953
8,7,8,9,9,8,7955
7,8,9,7,8,8,7956
8,7,8,9,9,8,7957
8,9,7,8,8,8,7958
7,8,9,7,8,8,7959
2,5,6,7,8,6,7960
6,7,8,8,7,8,7961
8,7,8,9,8,8,7962
5,6,7,8,8,7,7964
3,7,8,6,7,6,7965
7,8,8,7,8,7,7966
7,8,7,8,7,7,7967
8,7,8,7,9,8,7968
7,8,9,8,7,8,7969
8,7,8,9,8,8,7970
3,2,6,7,5,5,7972
8,7,8,9,8,8,7973
8,9,7,8,8,8,7974
6,8,7,8,7,7,7975
7,5,8,6,7,7,7977
6,7,8,7,8,7,7978
5,7,8,6,7,6,7979
6,6,7,8,7,7,7980
4,7,8,8,9,8,7981
5,7,8,6,7,7,7982
3,5,7,8,6,6,7983
8,7,8,7,8,7,7987
8,9,7,8,9,8,7990
5,4,6,7,8,6,7991
4,7,8,8,7,7,7992
0,4,7,5,6,5,7993
3,5,7,6,8,6,7994
8,9,9,8,8,8,7995
2,7,8,9,9,7,7996
5,7,8,6,6,6,7997
2,4,6,7,5,5,7998
3,4,5,7,6,5,7999
6,8,7,7,8,7,8000
7,8,6,7,8,7,8001
8,7,8,9,8,8,8002
7,8,7,8,9,8,8003
7,6,8,7,8,7,8005
8,7,8,9,8,8,8006
7,6,8,8,7,7,8007
5,8,6,7,7,7,8008
8,7,8,9,8,8,8010
7,8,6,8,7,7,8011
9,8,8,9,9,8,8012
5,7,8,8,7,7,8015
8,7,8,9,8,8,8016
8,7,6,8,7,8,8017
8,7,8,8,7,8,8018
3,5,7,6,8,6,8019
5,7,8,9,8,7,8020
4,6,7,5,5,5,8022
7,5,8,9,6,7,8023
3,7,6,8,5,6,8024
8,7,8,9,8,8,8026
8,7,8,8,9,8,8027
2,6,7,8,7,6,8028
2,7,8,6,5,6,8029
7,8,7,9,8,8,8030
6,7,8,6,7,7,8031
5,4,7,6,6,6,8036
8,9,8,9,9,8,8038
3,6,7,8,7,6,8039
5,7,6,8,7,6,8041
7,6,5,8,7,7,8042
2,5,7,6,8,6,8043
8,7,8,7,8,8,8044
6,8,7,8,7,7,8045
7,8,6,8,7,7,8047
7,6,8,7,8,7,8048
8,7,8,9,8,8,8051
8,9,8,9,8,8,8052
4,6,7,8,8,7,8053
6,8,7,8,7,8,8054
2,5,6,7,8,5,8056
5,6,8,4,3,6,8058
6,7,8,9,8,8,8059
4,6,8,7,7,6,8060
2,5,7,8,6,6,8061
3,5,7,8,6,8062
3,5,7,8,6,6,8063
4,6,7,8,7,6,8064
7,8,7,8,7,7,8065
7,6,8,7,8,7,8066
5,7,8,8,7,7,8068
7,8,8,7,9,8,8069
7,8,9,7,8,8,8070
3,5,7,6,8,6,8071
5,6,7,8,7,7,8072
3,8,7,8,6,7,8073
4,6,5,8,7,6,8074
7,6,8,8,7,7,8075
9,8,7,8,8,8,8076
8,7,9,8,7,8,8077
7,8,9,6,7,7,8078
7,5,6,8,7,6,8079
7,8,7,8,7,8,8081
8,7,8,9,8,8,8082
7,8,7,8,8,8,8083
4,7,6,8,8,7,8085
8,7,8,9,8,8,8086
2,6,7,8,7,6,8087
7,8,8,7,7,7,8088
3,4,6,5,7,5,8089
8,7,8,9,9,8,8090
8,7,8,7,8,8,8094
5,7,8,6,7,7,8095
8,7,8,9,8,8,8096
8,7,8,9,8,8,8097
8,7,8,9,8,8,8098
8,7,8,9,8,8,8099
6,5,7,8,6,6,8100
3,7,8,6,7,6,8101
7,8,8,7,8,7,8103
3,5,5,7,6,6,8105
7,8,8,8,7,8,8107
7,6,8,9,7,7,8108
5,7,8,6,7,7,8110
6,8,7,6,8,7,8111
8,7,6,7,8,7,8112
7,5,6,8,7,7,8113
3,6,6,7,5,5,8115
4,6,7,8,8,7,8116
8,7,8,7,8,8,8117
6,7,8,8,7,7,8119
3,7,7,5,6,6,8120
7,8,8,7,8,8,8121
8,7,9,8,8,8,8122
9,8,9,7,9,8,8123
8,7,8,9,8,8,8124
6,7,8,8,7,7,8125
8,7,9,8,8,8,8126
6,8,7,8,7,7,8129
7,8,7,8,8,8,8130
3,7,6,8,5,6,8131
2,5,7,6,4,5,8133
7,5,8,8,7,7,8134
5,8,7,7,6,7,8135
8,6,7,9,8,8,8137
8,7,6,8,7,7,8138
8,7,8,9,8,8,8139
6,5,7,8,8,7,8140
6,7,8,9,9,8,8141
2,8,6,7,7,6,8142
5,8,7,6,6,7,8143
8,9,9,8,9,8,8144
7,6,8,7,8,7,8145
7,6,8,7,8,7,8146
6,8,7,7,8,8,8147
7,8,9,7,8,8,8148
2,3,5,4,6,4,8151
4,7,8,6,7,7,8152
8,7,7,9,8,8,8154
8,9,8,7,9,8,8156
7,8,8,7,8,8,8157
8,7,8,7,8,7,8158
8,7,8,9,8,8,8160
5,8,7,6,9,7,8163
5,7,8,9,6,7,8166
7,8,7,8,7,7,8167
7,6,8,7,8,7,8169
8,7,8,9,8,8,8170
7,6,8,6,7,7,8171
2,5,7,8,6,6,8172
8,7,9,8,8,8,8173
7,6,8,7,8,7,8174
7,8,7,6,8,7,8175
8,7,8,7,9,8,8176
7,8,6,7,8,7,8177
2,8,7,7,8,7,8179
7,8,6,7,8,7,8180
6,2,7,8,7,6,8181
7,6,8,9,7,7,8182
6,5,7,8,7,7,8183
8,9,7,8,8,8,8184
7,8,8,6,7,7,8186
2,7,8,8,7,7,8188
6,8,7,8,8,7,8189
4,7,8,6,7,6,8190
8,7,8,7,9,8,8191
8,9,7,8,9,8,8192
8,7,7,8,8,8,8196
8,7,8,9,9,8,8198
2,4,5,6,7,5,8201
9,8,7,9,8,8,8202
5,8,7,6,6,7,8204
6,7,8,8,7,7,8205
8,7,8,9,8,8,8206
8,6,7,9,8,7,8207
7,5,8,9,7,8,8208
2,4,6,3,5,4,8209
8,7,8,6,7,7,8210
3,7,8,6,5,6,8211
8,7,6,8,7,7,8213
3,6,7,8,7,6,8215
7,8,7,8,7,7,8216
7,8,8,7,7,8,8217
4,7,7,8,8,7,8218
7,8,8,7,8,8,8219
7,8,8,9,7,8,8220
8,7,9,8,8,8,8221
6,7,8,8,7,7,8222
6,7,8,8,7,7,8223
8,7,7,8,8,7,8225
6,7,8,7,7,7,8226
8,7,6,8,7,7,8227
8,9,7,8,8,8,8228
9,9,8,8,9,9,8230
6,7,8,9,8,8,8232
3,5,6,7,8,5,8233
2,5,7,8,6,6,8235
6,7,8,9,8,7,8236
3,4,6,7,5,5,8238
7,5,8,8,9,7,8240
7,8,9,7,8,8,8241
8,7,8,9,9,8,8242
3,6,7,5,4,5,8244
6,4,7,8,6,6,8247
7,6,8,7,7,7,8249
8,9,7,8,8,8,8250
7,8,8,7,8,7,8253
5,8,7,6,7,6,8254
8,7,8,9,8,8,8256
6,8,7,8,7,7,8259
5,7,8,6,7,6,8260
7,8,8,7,8,7,8261
2,7,7,6,6,6,8262
5,6,7,8,8,7,8263
7,6,8,7,8,7,8264
6,8,7,9,7,7,8265
8,7,8,7,8,8,8267
4,7,8,9,6,7,8268
6,8,7,5,6,6,8270
5,6,7,8,5,6,8271
7,6,8,9,7,7,8274
3,7,8,6,7,7,8275
8,7,8,9,8,8,8276
7,8,9,7,8,8,8277
6,7,8,8,7,7,8278
2,5,6,7,8,6,8279
5,7,6,8,7,7,8280
8,7,7,6,8,7,8281
8,7,6,8,8,8,8284
2,5,7,6,6,5,8285
8,7,6,8,7,7,8287
9,8,7,6,8,8,8288
2,4,6,5,7,4,8290
8,7,8,9,8,8,8291
6,8,7,8,6,7,8292
8,7,8,9,9,8,8294
7,6,8,7,8,7,8297
3,4,6,7,7,6,8298
3,7,5,6,7,6,8299
9,8,8,9,9,8,8300
8,7,8,9,7,8,8302
7,6,8,8,7,7,8303
8,7,8,8,9,8,8305
3,5,7,6,8,6,8306
4,6,7,8,8,6,8307
3,5,6,7,6,5,8308
6,8,7,7,8,7,8309
7,8,6,7,8,7,8310
2,6,7,8,7,7,8312
2,8,7,9,6,7,8313
5,8,7,6,6,7,8314
7,6,8,7,8,7,8315
8,9,8,8,9,8,8316
8,7,8,9,9,8,8317
8,9,7,8,8,8,8318
7,8,8,7,8,7,8319
8,7,8,9,8,8,8320
3,5,7,6,7,6,8322
3,5,7,8,6,6,8323
6,5,7,8,6,6,8324
3,6,7,8,7,6,8325
3,5,7,8,6,6,8326
3,5,6,7,8,5,8327
7,6,5,4,5,6,8328
7,8,9,8,9,8,8329
6,7,8,6,7,7,8330
2,5,7,6,6,5,8331
5,6,8,7,7,7,8332
8,7,9,8,9,8,8333
5,6,7,8,7,7,8335
4,7,6,8,8,6,8336
4,6,8,7,7,6,8338
5,6,7,8,5,6,8339
9,8,8,9,9,8,8340
3,5,6,4,4,4,8341
7,8,8,7,8,8,8342
3,5,6,8,7,6,8343
7,6,8,7,7,7,8344
3,5,7,8,6,6,8346
7,8,9,9,8,8,8348
3,7,8,6,8,7,8349
6,7,8,7,8,7,8351
7,8,8,7,6,7,8352
3,5,7,6,8,6,8353
8,7,8,7,8,8,8354
8,7,7,8,8,7,8355
8,7,6,7,8,7,8357
7,8,7,8,7,7,8358
5,7,6,8,6,6,8359
3,6,7,8,7,6,8360
7,6,8,7,8,7,8361
7,6,8,9,8,8,8362
8,7,8,9,9,8,8363
8,7,9,8,8,8,8365
3,5,7,6,5,6,8366
8,7,8,9,7,8,8368
7,8,7,9,8,8,8370
7,8,6,7,7,7,8371
7,8,7,6,8,7,8372
7,6,8,7,7,7,8374
8,9,8,7,8,8,8375
8,7,8,9,9,8,8376
5,8,7,6,7,7,8377
4,6,8,7,7,7,8378
8,8,7,9,9,8,8379
4,6,7,8,8,6,8380
3,8,7,6,5,6,8381
9,8,7,9,9,8,8382
7,8,8,7,8,7,8384
8,8,7,9,8,8,8385
3,6,7,8,6,6,8386
6,7,8,6,7,7,8387
7,8,7,8,7,7,8388
6,7,8,8,7,7,8389
3,6,7,8,7,6,8390
8,9,7,8,8,8,8391
6,4,7,8,7,7,8393
3,7,8,6,8,7,8394
7,5,6,8,7,7,8395
2,5,7,8,6,6,8396
8,7,8,9,8,8,8397
6,8,8,7,7,7,8398
7,8,8,7,7,7,8399
7,8,8,9,7,8,8400
7,6,8,8,7,7,8401
5,8,7,6,7,7,8402
8,7,8,8,8,8,8403
2,4,6,8,7,5,8405
6,8,7,8,9,8,8407
3,5,6,5,4,5,8408
8,7,8,9,8,8,8409
7,5,8,6,7,6,8410
7,8,7,8,9,8,8411
7,8,7,9,8,8,8412
7,8,8,6,7,7,8414
7,8,7,9,8,8,8415
3,5,6,8,7,6,8418
2,4,5,6,7,4,8419
3,8,7,9,7,8,8420
2,7,8,6,7,6,8422
5,7,8,6,7,7,8423
7,6,8,7,8,7,8424
8,7,8,9,9,8,8425
3,8,7,7,6,7,8426
2,4,5,6,7,5,8427
8,7,9,8,9,8,8428
7,8,8,7,7,7,8430
7,8,8,7,7,7,8431
7,6,8,7,7,7,8433
5,4,6,7,8,6,8434
3,6,7,5,4,5,8435
6,7,8,7,6,7,8436
5,6,7,8,7,7,8438
8,7,6,8,7,7,8439
6,7,8,9,8,8,8440
8,8,7,9,8,8,8441
3,6,7,8,7,7,8442
3,4,6,7,7,6,8445
6,5,7,8,6,6,8447
6,8,7,9,8,8,8448
6,8,7,8,7,7,8449
2,4,5,7,6,5,8450
6,7,7,6,8,7,8452
5,8,7,6,6,7,8453
3,5,6,7,6,5,8454
6,7,8,7,8,7,8455
8,7,9,8,8,8,8456
6,5,7,8,8,7,8457
7,8,6,7,8,7,8458
2,4,5,6,6,5,8459
5,7,8,6,7,7,8460
5,6,7,8,7,7,8463
8,7,7,8,8,8,8465
3,7,6,8,6,6,8466
6,7,8,8,7,7,8468
6,7,8,8,7,7,8469
3,4,5,6,4,5,8470
3,5,7,8,6,6,8472
6,8,7,8,7,7,8473
5,4,7,6,8,6,8474
3,7,8,6,7,7,8476
7,8,6,8,7,7,8478
4,7,6,8,7,7,8479
8,7,9,8,8,8,8480
3,7,5,4,6,5,8481
7,8,7,6,8,7,8482
8,7,8,9,8,8,8483
7,8,6,8,7,8,8484
8,7,8,7,8,8,8486
8,7,9,8,9,8,8487
8,7,8,7,8,7,8488
6,8,7,8,7,7,8489
5,7,8,9,7,7,8490
0,3,6,7,4,5,8491
5,7,8,6,7,7,8492
8,7,8,8,9,8,8494
7,8,8,7,8,8,8495
8,7,9,8,9,8,8496
5,7,8,6,7,7,8497
7,8,8,9,7,8,8498
6,7,8,8,7,7,8499
4,8,7,6,6,6,8501
7,8,6,7,8,7,8505
3,6,7,8,7,6,8506
9,8,8,9,8,8,8508
8,7,9,8,8,8,8510
4,6,7,8,8,7,8511
7,8,6,7,8,7,8512
8,7,8,9,9,8,8513
9,8,9,7,9,8,8514
3,8,7,6,7,7,8515
6,7,8,8,7,7,8516
2,4,6,8,7,5,8517
2,6,7,8,5,5,8518
2,4,6,7,5,4,8519
6,8,7,7,8,7,8520
5,7,8,6,7,7,8521
5,4,6,7,7,6,8522
4,7,8,5,6,6,8523
5,6,7,8,7,7,8526
3,5,7,6,6,5,8528
7,8,8,7,8,7,8530
5,8,7,6,8,7,8531
7,8,6,7,8,7,8532
3,5,6,6,4,5,8534
3,7,5,8,6,6,8535
7,8,7,7,8,7,8536
5,7,8,7,8,7,8537
8,7,8,9,9,8,8538
8,7,8,6,7,8,8539
7,8,7,6,8,7,8540
7,6,8,7,8,8542
3,6,7,8,7,6,8543
2,6,5,8,7,6,8544
7,8,8,7,6,7,8546
8,7,8,9,9,8,8547
7,8,9,7,8,8,8548
7,8,8,7,9,8,8549
8,7,8,9,9,8,8550
7,8,7,6,8,7,8551
7,8,8,7,7,7,8552
8,7,8,8,8,7,8553
8,7,8,7,8,8,8554
3,7,6,5,4,6,8555
6,7,8,5,7,7,8556
6,8,7,8,8,7,8557
7,6,8,7,8,7,8558
3,7,8,6,7,7,8559
8,7,8,9,9,8,8561
2,2,5,6,7,4,8564
8,6,7,8,7,7,8565
2,5,7,6,4,6,8566
6,7,8,6,7,7,8567
7,8,7,6,8,7,8568
5,4,3,7,6,5,8569
2,6,7,8,7,6,8570
7,6,8,8,7,7,8571
6,7,8,6,7,7,8573
5,4,6,7,5,6,8574
5,7,8,6,7,6,8575
7,6,8,7,8,7,8576
7,8,8,7,8,7,8578
8,5,7,6,8,7,8579
7,6,8,7,5,7,8580
8,7,8,9,9,8,8581
3,5,7,6,8,6,8582
8,8,7,8,9,8,8584
8,7,8,9,8,8,8586
7,8,7,6,6,7,8587
8,7,8,8,9,8,8588
7,8,6,8,7,7,8589
6,7,8,8,7,7,8590
8,7,8,9,8,8,8591
4,3,7,6,5,5,8593
7,8,8,7,9,8,8594
7,6,8,7,7,7,8595
8,7,8,9,8,8,8597
9,8,7,9,8,8,8598
7,8,9,8,7,8,8599
6,5,7,6,6,6,8600
2,6,7,8,5,5,8601
8,7,6,8,7,7,8602
7,8,6,7,8,7,8603
7,8,8,7,7,7,8604
6,7,8,8,7,7,8605
4,7,8,6,7,6,8606
7,8,8,7,9,8,8607
8,7,8,8,7,8,8609
8,7,8,9,9,8,8610
2,4,7,6,7,6,8611
8,9,7,8,8,8,8612
6,7,8,9,8,8,8613
2,7,6,8,9,7,8614
3,5,6,7,7,6,8615
8,7,9,8,9,8,8617
8,7,8,9,9,8,8618
8,7,9,8,8,8,8619
5,3,7,5,6,6,8620
8,7,8,9,8,8,8622
7,8,6,7,8,7,8624
5,7,8,6,7,7,8625
7,8,7,8,8,8,8626
6,8,7,7,6,7,8627
7,6,5,8,7,7,8628
6,8,7,9,8,7,8629
2,5,7,6,4,6,8630
3,8,7,9,8,8,8631
7,6,8,7,8,7,8632
5,4,6,8,7,6,8633
6,7,8,8,7,7,8634
6,8,7,6,8,7,8637
7,8,9,8,7,8,8638
7,8,7,8,9,8,8640
7,8,9,8,9,8,8641
4,6,7,8,7,6,8642
2,4,5,6,7,6,8643
4,8,6,5,7,6,8644
7,6,8,7,8,7,8645
6,4,5,7,6,6,8646
5,7,8,9,8,7,8647
8,7,8,7,8,7,8648
2,4,5,7,6,5,8650
6,8,7,7,6,7,8655
2,5,7,8,6,6,8656
5,7,7,8,8,7,8658
6,7,8,9,8,7,8660
4,5,7,6,6,6,8661
6,7,8,9,6,7,8662
8,7,7,8,8,8,8663
8,7,8,9,8,8,8664
2,5,7,8,6,6,8665
7,8,7,9,8,8,8666
7,6,8,7,6,7,8667
2,4,8,6,7,7,8671
7,8,6,7,8,7,8672
2,5,7,6,4,5,8673
3,7,8,6,7,7,8674
7,8,6,9,8,8,8675
5,8,7,6,7,7,8676
8,9,7,8,9,8,8677
3,6,7,8,7,7,8678
4,5,8,7,6,6,8679
8,6,7,7,8,7,8680
7,8,6,8,7,7,8681
4,7,8,6,6,6,8682
3,5,7,8,6,6,8683
3,6,5,7,7,6,8684
7,8,8,9,7,8,8685
7,5,8,9,8,7,8686
6,7,8,8,7,7,8687
7,6,8,8,7,7,8689
3,2,5,6,4,4,8691
7,8,7,6,7,7,8692
9,8,7,8,8,9,8693
7,8,6,5,7,7,8694
